name,gender,age,city,platform_primary,platform_secondary,sector,tenure_platform_1_months,tenure_platform_2_months,working_hours_per_day,rating,avg_monthly_earnings,total_earnings,std_dev_earnings,recurring_expenses,cash_inflow_to_outflow_ratio,savings,net_savings_ratio,emergency_fund_months_covered,dependent_count,credit_card_user,credit_score,credit_history_length_months,education,loan_amount_requested,loan_term_months,interest_rate,purpose_of_loan,location_stability,earnings_trend_slope_6mo,num_loan_rejections_6mo,assets_inr,repayment_status
Nachiket Kuruvilla,Male,19,Gandhinagar,HouseHelpIndia,KaamWaliBai,domestic,53,53,7,4.250589256019087,27125,325500,6098.65,17931,0.73,0,0.0,2.3,0,False,,0,12th,137064,24,21.28,education,stable,0.17,0,{},0.0
Yug Palla,Male,44,Bilaspur,Rapido,Uber,cab,22,27,13,4.8,29185,350220,7067.31,15333,0.98,0,0.0,1.2,0,False,,0,none,21444,12,17.39,business,stable,-0.01,0,{},1.0
Aayush Rout,Male,24,Durg,HandyManGo,QuickFix,other,35,30,8,4.250589256019087,24096,289152,8994.56,13284,1.16,10000,0.03,0.2,3,False,,0,graduate,77580,24,13.06,medical,stable,0.07,0,"{""vehicle"": 158372}",1.0
Jeet Dhillon,Male,28,Siwan,Instamart,Zomato,food_delivery,54,59,9,4.9,25223,302676,7508.96,16746,1.34,10000,0.03,2.7,1,False,,0,graduate,128142,36,20.94,education,semi-stable,0.05,0,"{""vehicle"": 145936, ""home"": 1062926, ""land"": 120404}",1.0
Niharika Yogi,Female,49,Parbhani,UrbanClap,Yes Madam,beauty,52,50,7,3.6,34372,412464,9741.83,19483,1.35,0,0.0,3.5,0,False,,0,12th,93157,24,17.15,wedding,stable,-0.18,1,"{""vehicle"": 88730}",0.0
Eesha Upadhyay,Female,46,Aligarh,HouseHelpIndia,,domestic,36,0,7,4.250589256019087,22993,275916,8846.64,9957,0.73,0,0.0,1.6,1,True,593.0,8,graduate,23028,24,21.02,medical,unstable,0.03,0,{},0.0
Anamika Khurana,Female,29,Jaipur,Zepto,Swiggy,food_delivery,54,54,8,4.2,20702,248424,4293.47,13376,0.87,0,0.0,0.9,1,True,428.0,40,10th,34885,12,20.29,debt_consolidation,stable,-0.17,0,"{""vehicle"": 86122, ""land"": 692779}",1.0
Ansh Ahluwalia,Male,39,Gorakhpur,Ola,Uber,cab,53,49,10,4.7,31212,374544,10966.44,20528,0.92,10000,0.03,0.6,0,False,,0,12th,83446,12,23.26,business,stable,0.02,1,"{""vehicle"": 214469}",1.0
Faras Nagar,Male,27,Suryapet,UrbanClap,Yes Madam,beauty,40,35,9,4.5,10156,121872,3604.17,6605,1.01,10000,0.08,1.5,2,True,708.0,18,10th,37349,24,23.09,wedding,stable,0.14,0,{},0.0
Ekta Master,Female,38,Panchkula,Vedantu,UrbanPro,tutoring,26,26,6,4.250589256019087,13630,163560,5327.32,8374,0.81,0,0.0,1.7,0,False,,0,10th,17227,12,10.26,medical,unstable,0.18,0,"{""vehicle"": 294078}",0.0
Madhav Banik,Male,45,Bilaspur,HandyManGo,QuickFix,other,54,48,11,4.250589256019087,21650,259800,5226.06,15046,1.07,0,0.0,0.8,3,False,,0,10th,35309,12,12.33,vehicle,stable,-0.01,0,"{""home"": 854346, ""land"": 150597}",1.0
Jackson Toor,Male,39,Tirunelveli,Rapido,Uber,cab,17,17,14,4.0,33893,406716,12625.36,17113,0.8,0,0.0,0.5,0,True,456.0,23,graduate,47147,12,16.2,medical,stable,-0.02,0,"{""vehicle"": 254277}",1.0
Pratyush Dugal,Male,40,Alwar,Uber,,cab,10,0,11,4.1,23048,276576,8132.99,12608,0.87,0,0.0,3.0,1,False,,0,12th,37495,36,13.48,business,stable,-0.01,0,"{""vehicle"": 152902}",0.0
Zayyan Tella,Male,28,Mirzapur,Ola,Uber,cab,53,47,11,4.9,24735,296820,9429.02,15181,1.0,0,0.0,2.8,2,False,,0,10th,147147,36,11.98,business,stable,0.1,0,"{""home"": 346380, ""land"": 210987}",1.0
Veer Seshadri,Male,35,Yamunanagar,Rapido,Ola,cab,28,31,14,3.6,14084,169008,4312.5,5719,1.39,0,0.0,2.1,2,False,,0,graduate,116276,12,13.23,wedding,stable,0.11,2,"{""vehicle"": 120565}",0.0
Gunbir Raju,Male,30,Kozhikode,Swiggy,Zomato,food_delivery,37,36,12,3.7,26376,316512,8689.71,13355,1.41,25000,0.08,1.2,1,False,,0,10th,17171,36,22.69,vehicle,semi-stable,-0.14,0,"{""vehicle"": 217585}",1.0
Advik Ramachandran,Male,49,Guwahati,Vedantu,UrbanPro,tutoring,59,58,6,4.250589256019087,22295,267540,7350.6,12203,0.93,10000,0.04,1.3,1,False,,0,graduate,25000,24,15.02,education,semi-stable,0.01,0,"{""vehicle"": 95599, ""home"": 1105538}",1.0
Forum Rai,Female,31,Faridabad,UrbanClap,Yes Madam,beauty,53,57,9,4.0,24964,299568,8032.16,15082,0.76,0,0.0,2.6,0,False,,0,10th,109042,24,20.32,education,semi-stable,-0.03,2,"{""vehicle"": 226216}",0.0
Anay Dani,Male,30,Panchkula,Zomato,Swiggy,food_delivery,49,45,12,4.7,20994,251928,7151.52,14371,0.99,0,0.0,1.7,1,False,,0,graduate,71640,36,17.53,education,semi-stable,0.07,0,"{""vehicle"": 202316}",1.0
Pahal Swamy,Female,41,Aurangabad,Yes Madam,UrbanClap,beauty,46,43,8,4.8,32750,393000,4705.75,18039,0.97,0,0.0,2.7,0,False,,0,12th,115277,24,11.31,education,semi-stable,-0.03,0,"{""vehicle"": 177622}",0.0
Prisha Bose,Female,18,Udaipur,Vedantu,UrbanPro,tutoring,18,20,7,4.250589256019087,23489,281868,3818.88,14171,1.16,25000,0.09,2.5,0,False,,0,10th,83007,36,14.48,wedding,semi-stable,0.01,0,"{""vehicle"": 72463}",1.0
Hredhaan Agate,Male,46,Kadapa,KaamWaliBai,HouseHelpIndia,domestic,17,19,7,4.250589256019087,14416,172992,4954.78,9674,1.02,0,0.0,0.3,2,False,,0,10th,96612,12,15.44,debt_consolidation,unstable,0.1,0,"{""vehicle"": 264450, ""home"": 815536}",0.0
Advay Goyal,Male,30,Malegaon,Uber,Rapido,cab,5,4,13,4.4,22959,275508,7856.13,9756,1.23,25000,0.09,0.3,1,False,,0,12th,143629,24,10.62,business,stable,-0.07,0,"{""vehicle"": 174559}",1.0
Nathan Bhatia,Male,19,Coimbatore,Zepto,Swiggy,food_delivery,22,19,8,4.9,15999,191988,5487.21,8820,1.15,25000,0.13,2.9,1,False,,0,10th,124579,36,18.52,wedding,stable,-0.08,1,"{""home"": 1053510}",1.0
Warda Mahajan,Female,27,Thane,UrbanClap,Yes Madam,beauty,48,48,7,3.8,32867,394404,9812.73,22567,0.71,0,0.0,1.3,0,False,,0,12th,100472,24,12.39,wedding,stable,-0.06,0,"{""home"": 960992, ""land"": 417213}",0.0
Nilima Deshpande,Female,18,Katni,Vedantu,UrbanPro,tutoring,13,14,8,4.250589256019087,27523,330276,3334.86,12140,1.39,0,0.0,0.1,1,False,,0,12th,32580,24,22.96,business,stable,-0.04,0,"{""vehicle"": 202685, ""home"": 321047, ""land"": 586536}",0.0
Sai Sahni,Female,35,Bhind,Yes Madam,UrbanClap,beauty,5,7,7,4.9,25198,302376,2550.98,11925,1.02,0,0.0,0.5,2,False,,0,10th,55823,36,17.26,medical,stable,0.12,0,"{""vehicle"": 273504}",0.0
Lajita Rama,Female,27,Imphal,UrbanClap,Yes Madam,beauty,14,16,8,4.6,27785,333420,4810.88,18297,1.19,0,0.0,3.2,1,False,,0,12th,148539,24,21.43,business,stable,0.06,0,"{""vehicle"": 80455, ""home"": 1495404, ""land"": 845665}",0.0
Michael Balakrishnan,Male,41,Rewa,Zomato,Instamart,food_delivery,19,15,12,4.4,24187,290244,3485.23,16174,1.5,0,0.0,1.1,0,False,,0,graduate,81411,36,11.79,business,stable,0.08,0,"{""vehicle"": 58760}",1.0
Reyansh Setty,Male,40,North Dumdum,HandyManGo,QuickFix,other,25,27,8,4.250589256019087,17029,204348,4891.31,10288,1.44,10000,0.05,4.0,2,False,,0,10th,31602,12,11.52,wedding,semi-stable,-0.07,0,{},1.0
Urmi Sankar,Female,36,Amaravati,UrbanClap,Yes Madam,beauty,58,58,8,4.6,39322,471864,8917.93,20313,1.39,0,0.0,3.8,0,False,,0,12th,142096,36,13.86,business,stable,-0.09,2,"{""vehicle"": 57918, ""home"": 1232676}",1.0
Chakradev Subramanian,Male,29,Ratlam,Uber,Rapido,cab,35,31,10,4.8,30912,370944,9210.76,19886,0.86,0,0.0,2.6,1,True,530.0,30,12th,37584,12,22.06,business,semi-stable,-0.04,1,"{""vehicle"": 99254}",1.0
Madhav Konda,Male,32,Fatehpur,Rapido,Uber,cab,13,12,10,4.1,8000,96000,1951.39,4951,0.99,0,0.0,1.5,3,True,362.0,1,12th,57160,12,18.88,vehicle,stable,0.01,0,"{""vehicle"": 141492}",0.0
Liam Raval,Male,44,Nangloi Jat,Vedantu,UrbanPro,tutoring,35,33,8,4.250589256019087,13820,165840,3556.42,6854,1.26,10000,0.06,1.8,0,False,,0,10th,61120,36,11.07,business,stable,-0.2,0,"{""vehicle"": 268767, ""home"": 1062380}",0.0
Tejas Madan,Male,42,Machilipatnam,UrbanPro,Vedantu,tutoring,10,14,7,4.250589256019087,17665,211980,4244.96,7343,0.91,0,0.0,3.1,1,False,,0,10th,31301,24,13.02,wedding,semi-stable,0.08,0,"{""vehicle"": 160947, ""land"": 138109}",0.0
Anay Kamdar,Male,41,Kirari Suleman Nagar,QuickFix,,other,52,0,10,4.250589256019087,27211,326532,4211.63,11461,1.49,0,0.0,0.8,0,False,,0,12th,46993,24,11.83,education,stable,-0.04,0,"{""vehicle"": 109607, ""home"": 566244}",1.0
Daksh Baria,Male,28,Khora ,Ola,Rapido,cab,37,31,10,4.5,13318,159816,2584.61,7059,1.1,0,0.0,1.0,2,False,,0,graduate,101164,24,16.47,vehicle,stable,-0.1,0,{},0.0
Rohan Gola,Male,31,Bhind,QuickFix,HandyManGo,other,13,10,8,4.250589256019087,21299,255588,5836.1,14490,1.44,0,0.0,0.3,0,True,777.0,37,graduate,87904,24,13.78,medical,stable,-0.05,0,"{""vehicle"": 241266}",0.0
Caleb Pillai,Male,47,Panchkula,UrbanClap,Yes Madam,beauty,26,27,8,3.6,35332,423984,3743.8,22541,1.41,0,0.0,0.4,0,False,,0,graduate,20329,24,21.05,debt_consolidation,stable,0.03,0,"{""home"": 344420}",1.0
Yamini Devi,Female,29,Panchkula,HandyManGo,QuickFix,other,16,10,8,4.250589256019087,69675,836100,20899.68,48481,1.34,0,0.0,0.9,3,False,,0,12th,119103,12,11.33,medical,semi-stable,-0.06,1,{},1.0
Watika Sule,Female,33,Gandhinagar,KaamWaliBai,HouseHelpIndia,domestic,3,-2,8,4.250589256019087,33381,400572,9054.26,20861,1.5,0,0.0,1.8,2,False,,0,graduate,55607,12,19.13,wedding,semi-stable,-0.05,0,"{""vehicle"": 66780}",0.0
Panini Lata,Female,23,Kadapa,UrbanClap,Yes Madam,beauty,48,45,8,4.6,28656,343872,6407.49,17078,1.21,0,0.0,1.0,0,False,,0,graduate,95825,12,17.18,medical,semi-stable,-0.13,0,"{""vehicle"": 253000}",0.0
Jatin Bajaj,Male,39,Mahbubnagar,Ola,Rapido,cab,25,27,14,4.3,29691,356292,5763.68,13334,0.9,0,0.0,3.1,0,False,,0,12th,112791,36,10.64,medical,semi-stable,-0.08,0,"{""vehicle"": 260359, ""home"": 838795}",1.0
Elijah Wable,Male,31,Nizamabad,HandyManGo,QuickFix,other,24,23,7,4.250589256019087,12074,144888,2340.81,5074,0.82,10000,0.07,1.9,1,False,,0,10th,40562,12,23.4,vehicle,semi-stable,-0.04,0,"{""vehicle"": 221925}",0.0
Chanakya Sandal,Male,19,Gaya,Uber,Ola,cab,36,39,11,4.6,24994,299928,9039.93,10521,1.14,10000,0.03,0.2,1,False,,0,12th,17138,24,22.91,business,unstable,-0.25,0,"{""vehicle"": 259116, ""land"": 791107}",1.0
Krishna Manda,Male,30,Guna,Zepto,Swiggy,food_delivery,19,23,11,4.8,28367,340404,7995.52,12139,1.21,0,0.0,3.4,3,False,,0,12th,129649,24,14.98,wedding,stable,0.13,2,"{""vehicle"": 58489, ""home"": 1062996, ""land"": 820287}",1.0
Umang Kunda,Male,20,Gorakhpur,Rapido,Uber,cab,33,33,11,4.1,43001,516012,4602.31,22352,0.71,0,0.0,1.6,0,False,,0,12th,93483,12,16.21,business,stable,0.06,0,"{""vehicle"": 131233, ""home"": 1385306, ""land"": 612322}",1.0
Anirudh Dora,Male,47,Sikar,Zepto,Zomato,food_delivery,45,39,8,4.8,11673,140076,3391.03,7103,1.49,10000,0.07,0.1,2,True,331.0,52,10th,111659,36,16.91,medical,stable,0.19,2,"{""home"": 1204422}",1.0
Jalsa Hari,Female,24,Katni,UrbanClap,Yes Madam,beauty,17,15,6,4.2,18285,219420,5149.1,11320,1.17,25000,0.11,1.7,2,True,487.0,49,graduate,22649,36,20.92,debt_consolidation,stable,-0.12,0,"{""vehicle"": 215064}",1.0
Isaiah Dhawan,Male,40,Udaipur,Swiggy,Zepto,food_delivery,6,1,11,4.7,22454,269448,3678.87,15629,0.99,0,0.0,3.6,0,False,,0,graduate,17942,24,17.03,debt_consolidation,stable,-0.06,0,"{""home"": 876293}",1.0
Pooja Babu,Female,34,Varanasi,HouseHelpIndia,,domestic,38,0,7,4.250589256019087,19605,235260,2209.08,9120,1.39,10000,0.04,2.0,2,True,381.0,6,10th,95846,24,12.19,vehicle,stable,-0.15,0,"{""vehicle"": 82092, ""home"": 1473657}",0.0
Liam Rau,Male,41,Jhansi,Yes Madam,UrbanClap,beauty,40,41,7,3.5,24429,293148,6738.82,12812,0.89,0,0.0,0.7,1,False,,0,12th,148224,36,16.02,education,stable,-0.06,0,"{""vehicle"": 90474}",0.0
Eshana Prashad,Female,34,Mahbubnagar,UrbanClap,Yes Madam,beauty,44,45,6,3.9,37788,453456,4047.03,21469,1.22,0,0.0,2.7,0,False,,0,10th,101399,24,21.51,wedding,stable,-0.01,0,"{""home"": 858881}",0.0
Aarush Tiwari,Male,30,Shivpuri,HouseHelpIndia,,domestic,54,0,7,4.250589256019087,20448,245376,2096.52,11543,0.89,0,0.0,0.3,2,False,,0,graduate,145939,12,18.52,vehicle,stable,-0.02,0,"{""vehicle"": 249988}",0.0
Harish Sawhney,Male,48,Sangli-Miraj & Kupwad,Zomato,Instamart,food_delivery,8,4,8,4.4,21064,252768,2293.48,13042,1.05,25000,0.1,2.2,2,True,303.0,39,10th,70670,24,17.24,vehicle,semi-stable,-0.14,0,"{""vehicle"": 88320}",1.0
Balvan Ramachandran,Male,49,Panipat,Ola,Rapido,cab,54,54,12,4.5,23320,279840,3580.69,13909,0.88,0,0.0,3.1,1,False,,0,12th,31894,36,15.82,vehicle,unstable,-0.02,0,"{""vehicle"": 278891, ""land"": 498828}",1.0
Darpan Dash,Male,31,Ujjain,Zepto,,food_delivery,46,0,10,4.2,44515,534180,13664.06,27928,0.92,10000,0.02,1.5,1,False,,0,10th,97360,36,13.32,business,stable,0.04,0,"{""vehicle"": 154086}",1.0
Bhavini Pradhan,Female,39,Vijayanagaram,Yes Madam,UrbanClap,beauty,32,37,9,3.9,18885,226620,2983.7,10702,1.29,0,0.0,1.6,0,False,,0,12th,48757,24,17.58,debt_consolidation,unstable,-0.07,0,"{""vehicle"": 289412, ""home"": 1488122, ""land"": 676320}",0.0
Aahana Sant,Female,30,Bally,HouseHelpIndia,,domestic,50,0,7,4.250589256019087,31713,380556,9765.19,19044,0.71,0,0.0,3.4,1,False,,0,10th,94756,24,20.33,wedding,stable,0.08,0,"{""vehicle"": 57585}",0.0
Kiaan Mital,Male,44,Cuttack,Zepto,Zomato,food_delivery,50,47,9,4.3,24578,294936,7616.34,15091,0.75,0,0.0,3.3,0,False,,0,none,39228,24,22.92,wedding,semi-stable,-0.07,0,"{""home"": 341605}",0.0
Adweta Singh,Female,50,Arrah,Vedantu,UrbanPro,tutoring,18,22,8,4.250589256019087,9955,119460,3499.76,4870,1.39,0,0.0,1.7,3,True,705.0,13,10th,72590,36,12.86,medical,stable,0.02,0,"{""land"": 526847}",0.0
Girish Batra,Male,31,Pali,Zepto,Zomato,food_delivery,18,15,10,3.7,8572,102864,1090.25,5322,0.97,0,0.0,1.3,3,True,595.0,26,12th,70873,36,19.15,vehicle,stable,0.01,0,"{""vehicle"": 187257, ""home"": 1318286}",0.0
Rajeshri Ahuja,Female,46,Aurangabad,Instamart,Zepto,food_delivery,47,50,8,4.8,21826,261912,6849.64,12123,1.49,0,0.0,1.4,1,False,,0,10th,52924,24,19.83,medical,stable,0.09,0,"{""vehicle"": 170331, ""land"": 786259}",1.0
Vedika Sood,Female,40,Pudukkottai,UrbanPro,,tutoring,50,0,7,4.250589256019087,22978,275736,8202.23,9213,1.41,10000,0.04,0.6,1,True,392.0,12,graduate,123969,24,17.32,debt_consolidation,semi-stable,-0.13,0,"{""vehicle"": 163352}",0.0
Wriddhish Vasa,Male,42,Kolhapur,QuickFix,HandyManGo,other,49,43,7,4.250589256019087,30206,362472,12039.42,18295,1.42,0,0.0,0.9,3,False,,0,12th,84397,36,23.48,wedding,semi-stable,0.02,0,"{""vehicle"": 159378, ""home"": 798966}",1.0
Vidhi Parekh,Female,43,Gulbarga,Zepto,Instamart,food_delivery,41,35,12,4.0,19146,229752,3066.59,10209,1.19,0,0.0,3.2,1,True,488.0,18,none,89145,12,20.75,debt_consolidation,stable,0.08,0,"{""vehicle"": 133242, ""home"": 846287}",1.0
Ojasvi Brahmbhatt,Female,41,Visakhapatnam,HouseHelpIndia,KaamWaliBai,domestic,48,42,7,4.250589256019087,20137,241644,3422.13,11774,1.39,10000,0.04,1.5,2,False,,0,12th,128207,12,19.13,education,stable,0.17,0,"{""vehicle"": 252267, ""home"": 1236730}",1.0
Charita Brahmbhatt,Female,22,Vellore,UrbanPro,Vedantu,tutoring,57,53,7,4.250589256019087,18629,223548,6238.97,8777,0.81,10000,0.04,3.6,3,False,,0,graduate,104581,36,14.5,debt_consolidation,stable,0.16,0,"{""vehicle"": 61706}",0.0
Xavier Uppal,Male,19,Ambattur,Uber,Rapido,cab,30,33,13,4.6,19949,239388,4884.19,9031,1.49,0,0.0,0.3,2,False,,0,graduate,101264,12,14.49,wedding,stable,0.06,0,"{""vehicle"": 224507, ""land"": 164911}",1.0
Warjas Sunder,Male,23,Hindupur,Uber,Ola,cab,40,42,12,4.9,22058,264696,5248.43,9065,0.7,0,0.0,1.7,1,False,,0,12th,80592,36,13.75,vehicle,semi-stable,0.09,0,"{""land"": 421675}",1.0
Zayan Batra,Male,24,Moradabad,Zomato,Instamart,food_delivery,47,44,11,4.6,27042,324504,9217.07,15763,1.43,0,0.0,0.7,1,False,,0,graduate,20794,36,13.67,vehicle,stable,-0.09,0,"{""vehicle"": 135260, ""land"": 521067}",1.0
Samar Banerjee,Male,37,Bally,Zomato,Swiggy,food_delivery,27,26,12,4.5,35762,429144,12308.48,23838,1.3,0,0.0,3.2,2,False,,0,graduate,139149,36,16.03,debt_consolidation,semi-stable,-0.21,0,{},0.0
Kevin Kapadia,Male,48,Muzaffarpur,HandyManGo,QuickFix,other,10,12,7,4.250589256019087,21247,254964,7272.16,11837,1.36,0,0.0,3.6,0,False,,0,graduate,112174,12,15.1,wedding,stable,-0.08,1,"{""vehicle"": 59315}",0.0
Daniel Mangat,Male,40,Ambattur,Zepto,Zomato,food_delivery,22,18,10,4.0,8644,103728,2136.96,5047,1.17,0,0.0,1.6,0,True,698.0,23,graduate,35760,36,13.92,vehicle,stable,-0.0,0,"{""vehicle"": 247345}",0.0
Gaurang Sha,Male,41,Bangalore,Vedantu,UrbanPro,tutoring,9,13,8,4.250589256019087,24132,289584,8339.03,15802,1.44,0,0.0,3.6,3,False,,0,none,110078,24,11.43,medical,stable,-0.04,0,"{""vehicle"": 240618}",0.0
Ranbir Karpe,Male,21,Nashik,Zepto,Zomato,food_delivery,49,52,10,4.3,17544,210528,3424.25,12012,1.42,0,0.0,0.7,2,False,,0,12th,43723,12,23.24,debt_consolidation,stable,0.2,0,"{""vehicle"": 245486}",1.0
Ethan Gola,Male,36,Pallavaram,Instamart,Zomato,food_delivery,49,50,12,4.3,25780,309360,4697.7,17399,0.75,0,0.0,0.7,2,False,,0,graduate,56470,12,16.16,education,semi-stable,-0.02,2,"{""vehicle"": 101663}",1.0
Dominic Chandran,Male,27,Giridih,QuickFix,HandyManGo,other,11,6,7,4.250589256019087,8785,105420,2563.86,5974,1.01,0,0.0,1.9,0,False,,0,10th,14273,24,22.96,wedding,stable,0.03,1,"{""home"": 820955}",0.0
Finn Balay,Male,43,Bhilwara,Uber,Ola,cab,6,2,13,3.8,24878,298536,8684.42,15551,0.94,0,0.0,1.4,3,False,,0,12th,99874,24,16.23,wedding,stable,-0.01,0,"{""vehicle"": 228398}",0.0
Bimala Mishra,Female,37,Karnal,HandyManGo,QuickFix,other,27,23,8,4.250589256019087,21670,260040,6166.46,10912,1.3,0,0.0,2.8,0,True,362.0,23,12th,73182,24,20.96,vehicle,unstable,-0.02,0,{},0.0
Radha Gokhale,Female,23,Junagadh,UrbanClap,Yes Madam,beauty,32,32,7,4.0,22412,268944,2303.88,10900,0.84,0,0.0,1.7,2,True,738.0,12,12th,27315,24,13.31,vehicle,stable,0.08,0,"{""vehicle"": 146861}",0.0
Meera Bains,Female,34,Surendranagar Dudhrej,UrbanClap,Yes Madam,beauty,48,47,9,3.6,28234,338808,3072.15,14454,1.31,25000,0.07,3.8,0,False,,0,12th,98188,24,18.78,business,unstable,0.07,1,"{""vehicle"": 75112}",1.0
Jai Bhatti,Male,31,Junagadh,QuickFix,HandyManGo,other,45,45,9,4.250589256019087,22480,269760,3199.86,13422,1.45,0,0.0,3.8,1,False,,0,12th,42073,36,16.96,business,unstable,-0.09,0,"{""vehicle"": 91153}",0.0
Kalpit Sidhu,Male,28,Chennai,Zomato,Zepto,food_delivery,36,41,8,3.6,30788,369456,4347.92,15311,1.25,10000,0.03,2.7,2,False,,0,10th,70735,12,22.61,debt_consolidation,stable,-0.01,0,{},1.0
Vritti Jani,Female,20,Bhopal,Yes Madam,UrbanClap,beauty,3,6,8,4.4,32490,389880,11214.19,21026,1.27,25000,0.06,1.6,1,False,,0,12th,132450,12,13.83,medical,semi-stable,0.07,0,"{""vehicle"": 79373}",1.0
Maanav Kala,Male,44,Gangtok,Uber,Rapido,cab,41,45,11,3.9,37340,448080,14809.26,21365,1.43,0,0.0,1.1,1,True,773.0,20,12th,130456,24,19.92,vehicle,stable,-0.1,0,"{""vehicle"": 100550}",1.0
Waida Choudhary,Female,36,Mehsana,HouseHelpIndia,KaamWaliBai,domestic,9,13,9,4.250589256019087,26046,312552,5473.13,16257,1.25,0,0.0,1.2,3,False,,0,graduate,111054,36,21.69,medical,semi-stable,0.14,0,{},0.0
Samuel Sankar,Male,28,Jaunpur,Zomato,Swiggy,food_delivery,30,34,11,4.4,26512,318144,4395.97,10711,1.03,10000,0.03,3.2,1,False,,0,graduate,107206,12,13.21,business,unstable,-0.17,0,"{""vehicle"": 137777, ""home"": 590805, ""land"": 861438}",0.0
Avi Handa,Male,41,Phagwara,Swiggy,,food_delivery,47,0,10,3.8,30369,364428,4387.02,13169,0.87,10000,0.03,1.6,0,False,,0,12th,70232,36,17.26,wedding,unstable,0.21,0,"{""vehicle"": 106909}",0.0
Manan Cheema,Male,45,Tadipatri,Instamart,,food_delivery,23,0,9,3.7,30233,362796,7441.27,19587,0.89,10000,0.03,0.8,2,True,566.0,35,12th,42772,24,13.54,education,stable,-0.04,0,"{""vehicle"": 264459, ""home"": 1344496, ""land"": 795712}",0.0
Upasna Uppal,Female,37,Mumbai,Yes Madam,UrbanClap,beauty,11,15,9,3.9,19514,234168,4250.11,7806,1.33,10000,0.04,0.7,1,False,,0,10th,41645,24,13.4,vehicle,stable,-0.08,0,{},0.0
Akshay Patel,Male,40,Thanjavur,Ola,Uber,cab,7,12,11,3.8,42847,514164,4367.42,25851,1.2,10000,0.02,0.7,0,True,568.0,54,10th,34497,24,22.26,medical,stable,0.04,0,{},1.0
Yutika Jain,Female,21,Bhatpara,UrbanClap,Yes Madam,beauty,13,7,6,3.9,26590,319080,7358.76,13808,1.1,10000,0.03,3.8,0,False,,0,10th,120953,24,10.66,debt_consolidation,stable,-0.09,0,"{""vehicle"": 217494, ""home"": 752610}",0.0
Ekapad Uppal,Male,37,Tiruchirappalli,Zomato,,food_delivery,14,0,10,4.3,12600,151200,1380.34,6272,1.32,0,0.0,1.4,2,False,,0,12th,98927,12,18.96,vehicle,semi-stable,0.05,0,"{""vehicle"": 60700}",0.0
Aishani Gade,Female,37,Karnal,HouseHelpIndia,KaamWaliBai,domestic,5,6,8,4.250589256019087,35385,424620,4913.31,16282,1.07,10000,0.02,0.7,1,False,,0,10th,110798,24,20.81,vehicle,stable,0.06,2,"{""home"": 450001}",0.0
Parth Johal,Male,32,Belgaum,Zepto,,food_delivery,24,0,11,4.5,17932,215184,2389.23,11593,0.89,10000,0.05,3.9,1,False,,0,12th,148127,12,10.68,vehicle,stable,0.05,0,"{""home"": 1357583, ""land"": 952235}",0.0
Ranveer Kadakia,Male,19,Ulhasnagar,Ola,Uber,cab,45,44,10,5.0,41488,497856,14876.89,24491,1.01,25000,0.05,3.6,2,False,,0,12th,57581,24,20.52,education,stable,0.02,0,"{""vehicle"": 132017, ""home"": 830055}",1.0
Arin Bhalla,Male,39,Arrah,Vedantu,UrbanPro,tutoring,6,5,6,4.250589256019087,17504,210048,1796.4,9261,1.24,10000,0.05,3.8,2,False,,0,12th,140014,24,23.3,education,stable,0.14,0,{},0.0
Joshua Halder,Male,50,Aurangabad,HouseHelpIndia,KaamWaliBai,domestic,36,32,7,4.250589256019087,30776,369312,10090.11,16041,1.16,25000,0.07,3.1,1,False,,0,10th,29764,36,12.92,wedding,stable,0.01,0,"{""vehicle"": 53943, ""home"": 1378868}",1.0
Advaith Gokhale,Male,18,Bongaigaon,Ola,,cab,44,0,11,4.1,17285,207420,4093.59,11829,1.09,10000,0.05,1.0,0,True,698.0,21,12th,35664,24,20.78,education,semi-stable,0.06,0,"{""vehicle"": 249227}",1.0
Lipika Jhaveri,Female,34,Kulti,Instamart,Zomato,food_delivery,5,2,9,4.1,14797,177564,5200.21,9379,0.98,0,0.0,1.8,1,False,,0,graduate,101731,36,15.69,business,stable,0.09,0,{},0.0
Mitesh Verma,Male,45,Morena,Zomato,Swiggy,food_delivery,32,27,9,4.1,21744,260928,6428.19,14643,1.3,10000,0.04,3.4,1,False,,0,12th,113094,12,19.12,medical,semi-stable,-0.04,0,"{""vehicle"": 285793}",0.0
Bhavika Raja,Female,22,Nagpur,Yes Madam,UrbanClap,beauty,37,32,7,4.9,27277,327324,3212.42,18883,1.43,10000,0.03,2.7,1,False,,0,10th,110327,36,17.07,vehicle,stable,0.0,1,"{""vehicle"": 96610}",1.0
Krisha Khatri,Female,29,Tezpur,Yes Madam,,beauty,39,0,7,3.6,16894,202728,5578.08,9253,1.08,0,0.0,1.4,1,False,,0,graduate,143403,36,19.2,business,stable,-0.0,0,{},0.0
Dakshesh Lad,Male,44,Bellary,Zomato,Swiggy,food_delivery,23,23,11,5.0,24317,291804,7019.88,12544,1.1,0,0.0,1.3,0,False,,0,10th,134143,36,21.92,medical,semi-stable,0.13,2,"{""vehicle"": 228301, ""home"": 979486}",1.0
Qasim Dhaliwal,Male,26,Proddatur,QuickFix,HandyManGo,other,38,34,9,4.250589256019087,16868,202416,3056.44,11679,1.06,10000,0.05,2.9,0,False,,0,10th,117786,36,13.13,debt_consolidation,unstable,-0.12,0,"{""home"": 1365152}",0.0
